lat,lon,temp_c,wind_ms,solar_wm2,precip_mm,water_dist_m,road_dist_m,building_dist_m,s_temperature,s_wind,s_solar,s_precipitation,s_water,s_road,s_land_cover,s_building,suitability,ml_suitability
-4.5200,38.3600,,,,,52386.0009,43720.3325,41932.1820,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4269
-4.5200,38.4600,,,,,41298.9807,33348.8431,34192.6894,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4270
-4.5200,38.5600,,,,,30216.9717,23643.4417,28144.0225,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4273
-4.5200,38.6600,,,,,19148.3257,15876.2648,25714.6499,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4274
-4.5200,38.7600,,,,,8147.0470,13829.8939,16484.4673,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4277
-4.5200,38.8600,,,,,3493.6987,18467.0385,8286.5701,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4302
-4.5200,38.9600,,,,,14288.0583,10242.1352,2203.4409,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.3000,1.0000,0.3460,0.4299
-4.5200,39.0600,,,,,10810.9837,1979.3439,864.0251,0.5000,0.5000,0.5000,0.5000,0.0000,0.8912,1.0000,0.8300,0.4013,0.4577
-4.5200,39.1600,,,,,5432.1179,1942.0625,1018.0120,0.5000,0.5000,0.5000,0.5000,0.0000,0.8953,1.0000,1.0000,0.4837,0.5137
-4.5200,39.2600,,,,,10137.9596,2131.3657,575.9677,0.5000,0.5000,0.5000,0.5000,0.0000,0.8743,1.0000,0.4700,0.2267,0.2711
-4.5200,39.3600,,,,,3846.1201,1513.7719,1552.9130,0.5000,0.5000,0.5000,0.5000,0.0000,0.9429,0.1000,1.0000,0.3786,0.4578
-4.5200,39.4600,,,,,3668.8620,1240.9625,397.1245,0.5000,0.5000,0.5000,0.5000,0.0000,0.9732,0.3000,0.2464,0.0996,0.1679
-4.5200,39.5600,,,,,8966.7831,8938.6128,8605.9070,0.5000,0.5000,0.5000,0.5000,0.0000,0.1179,1.0000,1.0000,0.4371,0.4832
-4.5200,39.6600,,,,,16238.6605,16179.4187,16053.5262,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,1.0000,1.0000,0.4300,0.4752
-4.5200,39.7600,,,,,26328.0220,26264.5783,26094.3563,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,1.0000,1.0000,0.4300,0.4761
