lat,lon,temp_c,wind_ms,solar_wm2,precip_mm,elevation_m,water_dist_m,road_dist_m,building_dist_m,s_temperature,s_wind,s_solar,s_precipitation,s_water,s_road,s_land_cover,s_building,s_elevation,suitability,ml_suitability
-2.4200,34.2600,22.9257,1.2670,8.1015,170.9341,,50869.9104,117259.7136,124917.2208,1.0000,1.0000,0.2954,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4456,0.4366
-2.4200,34.3600,22.8391,1.4019,8.2062,171.6418,,61262.7726,112494.7174,120437.2796,1.0000,1.0000,0.3120,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4470,0.4407
-2.4200,34.4600,22.7525,1.5367,8.3108,172.3495,,71883.2195,105393.9543,115072.8010,1.0000,1.0000,0.3286,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4483,0.4442
-2.4200,34.5600,22.6157,1.6919,8.4081,172.4763,,82642.9480,96567.3625,109101.1145,1.0000,1.0000,0.3440,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4495,0.4461
-2.4200,34.6600,22.4453,1.8608,8.5006,172.2157,,93493.2335,88270.3518,103987.4051,1.0000,1.0000,0.3587,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4507,0.4465
-2.4200,34.7600,22.2414,2.0480,8.5983,172.9278,,93088.8581,80665.8470,97896.2806,1.0000,1.0000,0.3742,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4519,0.4488
-2.4200,34.8600,21.7363,2.4006,8.7436,182.3940,,87778.7861,73967.0531,92123.1662,1.0000,1.0000,0.3973,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4538,0.4508
-2.4200,34.9600,21.2312,2.7533,8.8890,191.8602,,79216.4251,68439.7120,86360.5897,1.0000,1.0000,0.4203,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4556,0.4504
-2.4200,35.0600,20.8535,3.0346,9.0061,191.9182,,71372.6965,64385.4842,80979.6265,1.0000,1.0000,0.4389,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4571,0.4525
-2.4200,35.1600,20.5606,3.2685,9.1042,185.7041,,64509.5329,62092.8440,75476.3648,1.0000,1.0000,0.4545,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4584,0.4557
-2.4200,35.2600,20.3102,3.4705,9.1962,178.5855,,58969.5201,61757.5619,70026.4424,1.0000,1.0000,0.4691,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4595,0.4560
-2.4200,35.3600,20.4419,3.3857,9.2324,163.3276,,55152.0310,59448.8626,64534.8657,1.0000,1.0000,0.4748,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4600,0.4560
-2.4200,35.4600,20.5736,3.3010,9.2687,148.0698,,47971.4736,53760.9850,59123.0993,1.0000,1.0000,0.4806,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4604,0.4562
-2.4200,35.5600,21.2344,2.9883,9.3792,142.8455,,36926.5505,49946.0785,53828.7926,1.0000,1.0000,0.4981,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4619,0.4561
-2.4200,35.6600,22.2479,2.5236,9.5393,144.3102,,25962.5982,47967.7246,48211.6603,1.0000,1.0000,0.5235,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4639,0.4590
-2.4200,35.7600,23.3301,2.0604,9.6993,143.7486,,14845.6685,43311.7229,42885.7739,1.0000,1.0000,0.5489,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4659,0.4562
-2.4200,35.8600,25.0309,1.6093,9.8574,124.9489,,3720.3798,36925.0786,37573.4596,1.0000,1.0000,0.5740,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4679,0.4567
-2.4200,36.1600,25.4716,1.0731,10.1620,234.1709,,6452.5797,26154.7681,21718.6253,1.0000,1.0000,0.6224,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4718,0.4627
-2.4200,36.2600,24.2509,1.1660,10.2143,307.2992,,14586.0818,18872.0078,15737.5063,1.0000,1.0000,0.6307,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4725,0.4645
-2.4200,36.3600,22.9592,1.5590,10.2699,276.1615,,8885.8098,11069.5333,10784.4346,1.0000,1.0000,0.6395,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4732,0.4675
-2.4200,36.4600,21.6676,1.9521,10.3255,245.0238,,3157.0643,7132.2907,4848.5177,1.0000,1.0000,0.6483,0.0000,0.0000,0.3186,0.4000,1.0000,0.5000,0.4866,0.4763
-2.4200,36.5600,21.0296,2.1429,10.2797,211.9962,,593.9586,1304.1757,312.6344,1.0000,1.0000,0.6410,0.0000,0.9624,0.9662,0.4000,0.1877,0.5000,0.1178,0.1459
-2.4200,36.6600,20.8275,2.1988,10.1662,177.7088,1507.0000,1558.1768,2373.3013,3585.1229,1.0000,1.0000,0.6230,0.0000,0.5767,0.8474,0.4000,1.0000,1.0000,0.6249,0.6284
-2.4200,36.7600,20.6620,2.2386,10.0517,148.1180,1413.0000,943.4669,1195.0362,2738.4435,1.0000,1.0000,0.6049,0.0000,0.8226,0.9783,1.0000,1.0000,1.0000,0.7662,0.7501
-2.4200,36.8600,20.8258,2.1338,9.9274,160.7978,1315.0000,1470.5308,110.6859,1841.7163,1.0000,1.0000,0.5851,0.0000,0.6118,1.0000,0.4000,1.0000,1.0000,0.6322,0.6316
-2.4200,36.9600,20.9897,2.0291,9.8031,173.4775,1317.0000,5863.5434,4182.4973,8635.3026,1.0000,1.0000,0.5654,0.0000,0.0000,0.6464,0.4000,1.0000,1.0000,0.5431,0.5442
-2.4200,37.0600,21.4137,2.0306,9.7110,172.0468,1220.0000,4434.4639,5259.8259,13863.8575,1.0000,1.0000,0.5508,0.0000,0.0000,0.5267,0.4000,1.0000,1.0000,0.5371,0.5378
-2.4200,37.1600,22.0111,2.1029,9.6404,161.2091,1185.0000,5167.3141,2219.6613,13130.8787,1.0000,1.0000,0.5396,0.0000,0.0000,0.8645,0.3000,1.0000,1.0000,0.5317,0.5339
-2.4200,37.2600,22.5700,2.1776,9.5711,149.8329,1153.0000,13333.6172,2290.8904,15274.1274,1.0000,1.0000,0.5286,0.0000,0.0000,0.8566,0.4000,1.0000,1.0000,0.5486,0.5470
-2.4200,37.3600,22.7814,2.2728,9.5147,133.6105,1131.0000,6746.3759,6231.2387,13456.7069,1.0000,1.0000,0.5196,0.0000,0.0000,0.4188,0.4000,1.0000,1.0000,0.5303,0.5314
-2.4200,37.4600,22.9927,2.3680,9.4582,117.3880,1086.0000,859.4848,1345.1637,4044.3712,1.0000,1.0000,0.5107,0.0000,0.8562,0.9616,0.4000,1.0000,1.0000,0.6541,0.6513
-2.4200,37.5600,23.0188,2.4108,9.4017,115.7215,1130.0000,3445.3621,2519.7761,3148.1104,1.0000,1.0000,0.5017,0.0000,0.0000,0.8311,0.4000,1.0000,1.0000,0.5454,0.5466
-2.4200,37.6600,22.9213,2.4187,9.3452,123.7591,1107.0000,8460.5561,2864.4140,4042.4295,1.0000,1.0000,0.4927,0.0000,0.0000,0.7928,0.4000,1.0000,1.0000,0.5431,0.5444
-2.4200,37.7600,22.8411,2.4265,9.2862,132.7566,1176.0000,4737.2200,1223.0293,2092.4607,1.0000,1.0000,0.4834,0.0000,0.0000,0.9752,0.4000,1.0000,1.0000,0.5497,0.5511
-2.4200,37.8600,22.9169,2.4343,9.2048,150.3935,1016.0000,10950.6237,456.5690,283.5344,1.0000,1.0000,0.4705,0.0000,0.0000,1.0000,0.4000,0.1392,1.0000,0.0765,0.0810
-2.4200,37.9600,22.9928,2.4421,9.1234,168.0305,924.0000,1002.1841,177.0423,236.9391,1.0000,1.0000,0.4575,0.0000,0.7991,1.0000,0.4000,0.0616,1.0000,0.0397,0.0430
-2.4200,38.0600,23.4787,2.4542,8.9638,161.9185,826.0000,4460.1259,2009.2359,1504.3975,1.0000,1.0000,0.4322,0.0000,0.0000,0.8879,0.6500,1.0000,1.0000,0.5871,0.5958
-2.4200,38.1600,24.2380,2.4692,8.7521,139.9739,716.0000,2384.5191,413.9862,79.4454,1.0000,1.0000,0.3986,0.0000,0.2462,1.0000,0.3000,0.0000,1.0000,0.0000,0.0234
-2.4200,38.2600,24.9680,2.4893,8.5452,120.8459,594.0000,147.4189,90.3401,610.4780,1.0000,1.0000,0.3658,0.0000,1.0000,1.0000,0.4000,0.6841,1.0000,0.4524,0.4658
-2.4200,38.3600,25.4340,2.5547,8.3813,127.0672,511.0000,1489.4786,1692.8718,9417.0738,1.0000,1.0000,0.3398,0.0000,0.6042,0.9230,0.4000,1.0000,1.0000,0.6086,0.6105
